CATEGORY,SIZE,PRICE,CONTENT RATING,TYPE,INSTALLS,RATING,Free,Paid,REVIEWS
Sports,3.6,0.0,Everyone,Free,500,3.5,1,0,27.0
Comics,9.1,0.0,Mature,Free,10000,3.5,1,0,115.0
Social,22.0,0.0,Everyone,Free,1000000,4.5,1,0,40467.0
Tools,0.2,0.0,Everyone,Free,10000,4.5,1,0,259.0
Communication,53.0,0.0,Mature,Free,10000,4.7,1,0,573.0
News And Magazines,14.0,0.0,Everyone,Free,100,4.4,1,0,27.0
Sports,41.0,0.0,Everyone,Free,100000,4.6,1,0,2019.0
Health And Fitness,3.8,0.0,Teen,Free,500000,4.0,1,0,2490.0
Family,48.0,0.0,Everyone,Free,100000,4.1,1,0,681.0
Communication,3.8,1.49,Everyone,Paid,100,3.5,0,1,10.0
Books And Reference,3.5,0.99,Everyone,Paid,500,4.1,0,1,70.0
Family,48.0,0.0,Teen,Free,10000000,4.1,1,0,105766.0
Family,1.6,0.0,Everyone,Free,5000,4.2,1,0,20.0
Lifestyle,3.8,0.0,Mature,Free,10000,3.7,1,0,121.0
Family,5.0,0.0,Everyone,Free,50000,4.6,1,0,498.0
Business,25.0,0.0,Everyone,Free,1000000,4.4,1,0,74359.0
Shopping,20.0,0.0,Everyone,Free,10000000,3.8,1,0,48732.0
Lifestyle,15.0,0.0,Teen,Free,50000,4.7,1,0,759.0
Medical,29.0,0.0,Everyone,Free,5,4.7,1,0,0.0
Books And Reference,1.4,3.08,Everyone,Paid,1000,4.4,0,1,47.0
Medical,26.0,0.0,Everyone,Free,1000000,4.7,1,0,23160.0
Game,10.0,0.0,Everyone,Free,10000000,4.6,1,0,214878.0
Finance,31.0,0.0,Everyone,Free,500,4.6,1,0,0.0
Communication,3.5,1.49,Everyone,Paid,100,4.8,0,1,6.0
Game,13.0,0.0,Teen,Free,1000,4.2,1,0,33.0
News And Magazines,0.0,0.0,Teen,Free,1000000,3.5,1,0,14153.0
News And Magazines,0.0,0.0,Teen,Free,1000000,3.7,1,0,4379.0
Comics,20.0,0.0,Teen,Free,50000,3.7,1,0,705.0
Business,10.0,0.0,Teen,Free,100,3.7,1,0,2.0
Medical,3.8,16.99,Everyone,Paid,1000,4.4,0,1,12.0
Personalization,0.0,0.0,Everyone,Free,10000000,4.2,1,0,115773.0
Tools,2.0,0.0,Everyone,Free,1000,3.0,1,0,4.0
Family,2.4,0.0,Everyone,Free,1000,4.7,1,0,17.0
Family,3.5,0.0,Everyone,Free,1000,4.3,1,0,20.0
Communication,3.7,1.49,Everyone,Paid,100,4.3,0,1,12.0
Health And Fitness,15.0,0.0,Everyone,Free,100000,4.4,1,0,11506.0
Game,38.0,0.99,Teen,Paid,10,5.0,0,1,8.0
Game,39.0,0.0,Mature,Free,10,4.3,1,0,3.0
Business,6.3,0.0,Everyone,Free,10,4.3,1,0,0.0
Photography,5.1,0.0,Everyone,Free,100000,4.0,1,0,802.0
Travel And Local,53.0,0.0,Everyone,Free,100000,3.1,1,0,421.0
Family,42.0,0.0,Mature,Free,10,3.1,1,0,0.0
Tools,3.7,1.49,Everyone,Paid,10,3.1,0,1,0.0
Dating,8.1,0.0,Mature,Free,500000,4.4,1,0,41605.0
Productivity,30.0,0.0,Everyone,Free,100000,4.3,1,0,4649.0
Travel And Local,0.0,0.0,Everyone,Free,50000000,4.5,1,0,768833.0
Dating,32.0,0.0,Mature,Free,10000,4.0,1,0,337.0
Communication,32.0,0.0,Everyone,Free,1000000,4.2,1,0,15880.0
Health And Fitness,40.0,0.0,Everyone,Free,10000,4.8,1,0,793.0
Health And Fitness,7.6,0.0,Everyone,Free,500000,4.5,1,0,1886.0
Health And Fitness,0.0,0.0,Everyone,Free,1000000,4.3,1,0,48253.0
Health And Fitness,0.0,0.0,Everyone,Free,10000000,4.8,1,0,471036.0
Health And Fitness,0.4,0.0,Everyone,Free,10000,3.5,1,0,224.0
Family,3.7,1.49,Everyone,Paid,10,5.0,0,1,1.0
Art And Design,17.0,0.0,Everyone,Free,10000,4.5,1,0,27.0
Tools,0.0,0.0,Everyone,Free,100000000,4.6,1,0,16771865.0
Tools,24.0,0.0,Everyone,Free,10000,3.9,1,0,84.0
Sports,25.0,0.0,Everyone,Free,10000000,4.6,1,0,666383.5
Personalization,7.4,0.0,Everyone,Free,10000000,4.1,1,0,62209.0
Sports,13.0,0.0,Everyone,Free,100000000,4.1,1,0,1076243.0
Art And Design,37.0,0.0,Everyone,Free,100000,4.4,1,0,1518.0
Family,69.0,0.0,Everyone,Free,500000,4.5,1,0,5481.0
Family,0.0,0.0,Everyone,Free,100000,4.3,1,0,2017.0
Family,30.0,0.0,Everyone,Free,1000000,4.3,1,0,6333.0
Family,28.0,0.0,Everyone,Free,100000,4.3,1,0,796.0
Family,31.0,0.0,Teen,Free,5000000,2.9,1,0,31596.0
Personalization,21.0,0.0,Mature,Free,100000,4.5,1,0,1724.0
Food And Drink,7.3,0.0,Everyone,Free,100000,4.4,1,0,467.0
Sports,13.0,0.0,Everyone,Free,50000000,4.2,1,0,1008012.0
Family,56.0,0.0,Teen,Free,10000,4.2,1,0,449.0
Communication,2.5,0.0,Everyone,Free,50000,4.3,1,0,488.0
Tools,2.4,0.0,Everyone,Free,10000,4.2,1,0,268.0
Tools,2.3,0.0,Everyone,Free,100000,4.2,1,0,2058.0
Medical,29.0,0.0,Everyone,Free,5,4.2,1,0,1.0
Game,0.0,0.0,Everyone,Free,500000,3.8,1,0,4257.0
Game,4.1,0.0,Everyone,Free,5000000,4.3,1,0,47698.0
Family,37.0,0.0,Everyone,Free,1000,4.4,1,0,32.0
Shopping,0.2,0.0,Everyone,Free,10,4.4,1,0,0.0
Medical,11.0,0.0,Mature,Free,100,5.0,1,0,2.0
Business,2.0,0.0,Everyone,Free,10,5.0,1,0,0.0
Photography,2.9,0.0,Everyone,Free,100000,4.2,1,0,382.0
Video Players,24.0,0.0,Everyone,Free,5000,3.7,1,0,20.0
Personalization,3.8,0.0,Teen,Free,500000,4.6,1,0,7583.0
Game,54.0,0.0,Everyone,Free,1000000,4.1,1,0,7279.0
Health And Fitness,8.4,0.0,Everyone,Free,50000,4.6,1,0,2067.0
Medical,8.0,0.0,Everyone,Free,10000,4.2,1,0,33.0
Medical,6.8,0.0,Everyone,Free,1000,2.3,1,0,17.0
Game,52.0,0.0,Teen,Free,100000,3.8,1,0,2691.0
Medical,6.1,0.0,Everyone,Free,10000,4.1,1,0,84.0
Food And Drink,9.0,0.0,Teen,Free,10000,4.0,1,0,196.0
Family,1.2,9.99,Everyone,Paid,100,4.7,0,1,7.0
Books And Reference,11.0,0.0,Teen,Free,5000000,4.1,1,0,52312.0
House And Home,15.0,0.0,Everyone,Free,100000,4.3,1,0,3522.0
House And Home,21.0,0.0,Everyone,Free,1000000,4.1,1,0,24977.0
Health And Fitness,0.0,0.0,Everyone,Free,1000000,4.6,1,0,18921.0
Health And Fitness,0.0,0.0,Teen,Free,500000,4.2,1,0,13799.0
Lifestyle,14.0,0.0,Teen,Free,100000,4.5,1,0,3346.0
Health And Fitness,0.0,0.0,Everyone,Free,10000000,4.5,1,0,399009.0
Game,54.0,0.0,Teen,Free,1000000,4.0,1,0,23168.0
Productivity,4.3,0.0,Everyone,Free,500000,4.4,1,0,6011.0
Health And Fitness,23.0,0.0,Everyone,Free,100000,4.8,1,0,527.0
Game,52.0,0.0,Everyone,Free,100000000,4.5,1,0,14200214.666666666
Sports,52.0,0.0,Everyone,Free,100000000,4.5,1,0,14184910.0
Sports,0.0,0.0,Everyone,Free,10000,4.6,1,0,539.0
Health And Fitness,67.0,0.0,Everyone,Free,10000000,4.6,1,0,115721.0
Dating,15.0,0.0,Teen,Free,1000000,4.1,1,0,4953.5
Medical,21.0,0.0,Everyone,Free,10000,4.6,1,0,47.0
Family,0.0,0.0,Teen,Free,10000000,4.6,1,0,1450632.0
Food And Drink,16.0,0.0,Everyone,Free,100000,4.5,1,0,454.0
Maps And Navigation,25.0,0.0,Everyone,Free,1000,4.1,1,0,41.0
Photography,0.0,0.0,Everyone,Free,5000000,4.1,1,0,76484.0
Family,11.0,0.0,Everyone,Free,1000000,3.9,1,0,3720.0
Medical,68.0,33.99,Everyone,Paid,1000,3.5,0,1,214.0
Family,2.9,0.0,Everyone,Free,500000,3.7,1,0,2398.0
Dating,8.8,0.0,Mature,Free,10000,4.1,1,0,236.0
Entertainment,19.0,0.0,Teen,Free,1000000,4.0,1,0,29706.0
